time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,EE_ImpactVel_0,EE_ImpactVel_1,EE_ImpactVel_2,EE_ImpactVel_3,EE_ImpactVel_4,EE_ImpactVel_5,EE_ImpactVel_6,EE_ImpactVel_7,EE_ImpactVel_8,EE_ImpactVel_9,EE_ImpactVel_10,EE_ImpactVel_11,EE_ImpactVel_12,EE_ImpactVel_13,EE_ImpactVel_14,EE_ImpactVel_15,EE_ImpactVel_16,EE_ImpactVel_17,EE_ImpactVel_18,EE_ImpactVel_19,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,EE_CRI_0,EE_CRI_1,EE_CRI_2,EE_CRI_3,EE_CRI_4,EE_CRI_5,EE_CRI_6,EE_CRI_7,EE_CRI_8,EE_CRI_9,EE_CRI_10,EE_CRI_11,EE_CRI_12,EE_CRI_13,EE_CRI_14,EE_CRI_15,EE_CRI_16,EE_CRI_17,EE_CRI_18,EE_CRI_19,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,EE_modi_velocity_percentage0,EE_modi_velocity_percentage1,EE_modi_velocity_percentage2,EE_modi_velocity_percentage3,EE_modi_velocity_percentage4,EE_modi_velocity_percentage5,EE_modi_velocity_percentage6,EE_modi_velocity_percentage7,EE_modi_velocity_percentage8,EE_modi_velocity_percentage9,EE_modi_velocity_percentage10,EE_modi_velocity_percentage11,EE_modi_velocity_percentage12,EE_modi_velocity_percentage13,EE_modi_velocity_percentage14,EE_modi_velocity_percentage15,EE_modi_velocity_percentage16,EE_modi_velocity_percentage17,EE_modi_velocity_percentage18,EE_modi_velocity_percentage19,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,EE_PFLFlag_0,EE_PFLFlag_1,EE_PFLFlag_2,EE_PFLFlag_3,EE_PFLFlag_4,EE_PFLFlag_5,EE_PFLFlag_6,EE_PFLFlag_7,EE_PFLFlag_8,EE_PFLFlag_9,EE_PFLFlag_10,EE_PFLFlag_11,EE_PFLFlag_12,EE_PFLFlag_13,EE_PFLFlag_14,EE_PFLFlag_15,EE_PFLFlag_16,EE_PFLFlag_17,EE_PFLFlag_18,EE_PFLFlag_19,max_ImpactVel,max_CRI,max_modi_velocity_percentage
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,
0.100000,0.000000,1.836644,1.640472,1.335477,2.910690,2.387095,3.863564,3.862237,3.862586,3.862045,3.862315,3.862849,3.863193,3.862797,3.862567,3.862497,3.862444,3.862308,3.862309,3.862148,3.861955,3.861955,3.862094,3.862035,3.861956,3.862467,3.862549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.123286,0.096694,0.000000,0.000000,0.113760,0.128227,0.115997,0.134825,0.092394,0.124068,0.106936,0.140717,0.106421,0.130243,0.096976,0.129333,0.126537,0.082544,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.863564,0.140717,300.000000,
0.200000,0.000000,21.830906,19.465398,15.834865,34.640969,28.417029,45.966919,45.958940,45.963100,45.956579,45.959915,45.960841,45.964962,45.960271,45.957469,45.957768,45.957121,45.955436,45.955438,45.956616,45.954238,45.954243,45.955966,45.955958,45.954870,45.956626,45.957639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528477,0.376699,0.000000,0.000000,0.421043,0.535709,0.457720,0.586770,0.362182,0.523316,0.426011,0.624555,0.428661,0.578934,0.376801,0.574820,0.531450,0.318248,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.966919,0.624555,300.000000,
0.300000,0.000000,45.560151,40.380094,32.764854,72.609907,59.618557,96.245281,96.285070,96.293858,96.279517,96.287403,96.250123,96.258972,96.249242,96.242909,96.251701,96.250280,96.246250,96.246204,96.271007,96.265411,96.265472,96.269579,96.274587,96.271234,96.243668,96.246064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.647473,0.504919,0.000000,0.000000,0.604072,0.703110,0.649254,0.735765,0.465064,0.673144,0.603817,0.820115,0.594079,0.730990,0.518655,0.731462,0.692182,0.417055,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,230.194548,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96.293858,0.820115,230.194548,
0.400000,0.000000,69.289396,60.785630,49.102596,111.246282,91.483223,147.188104,147.395178,147.408917,147.385080,147.399553,147.240896,147.255102,147.240405,147.229450,147.264089,147.261735,147.254237,147.254030,147.349865,147.339660,147.339890,147.347501,147.368173,147.360236,147.237158,147.241560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.687674,0.605678,0.000000,0.000000,0.707408,0.773866,0.730098,0.775570,0.555904,0.726716,0.672784,0.889666,0.643050,0.744782,0.615550,0.751099,0.757126,0.496433,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,284.671670,300.000000,253.511310,300.000000,300.000000,300.000000,154.650947,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147.408917,0.889666,154.650947,
0.500000,0.000000,93.018641,80.427947,64.545676,150.901785,124.361647,199.145430,199.702753,199.722222,199.685993,199.710402,199.302654,199.323463,199.303782,199.286340,199.373585,199.370030,199.357217,199.356652,199.596375,199.579259,199.579853,199.592808,199.645461,199.629306,199.309236,199.316673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.654729,0.000000,0.000000,0.767367,0.839311,0.800224,0.843793,0.611092,0.000000,0.717572,0.949338,0.667644,0.760584,0.654472,0.744013,0.818892,0.563040,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,223.311228,211.009116,216.210780,188.447645,300.000000,300.000000,300.000000,118.438761,300.000000,272.194208,300.000000,276.083796,238.339436,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,199.722222,0.949338,118.438761,
0.600000,0.000000,116.747887,99.071074,78.803838,191.929451,158.607156,252.468538,253.623283,253.650121,253.596927,253.636314,252.806102,252.835790,252.810925,252.784026,252.960493,252.955315,252.934377,252.933139,253.415801,253.388236,253.389508,253.410610,253.517290,253.487799,252.833357,252.845408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.122915,0.000000,0.770328,0.681025,0.000000,0.000000,0.821304,0.000000,0.876034,0.911455,0.639277,0.821194,0.767148,0.995687,0.000000,0.811092,0.682565,0.766304,0.874430,0.615976,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,63.565950,300.000000,226.972746,300.000000,300.000000,300.000000,177.215044,300.000000,159.883798,142.802173,300.000000,216.649325,278.545187,101.199164,300.000000,213.158291,300.000000,227.315600,184.325168,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,253.650121,1.122915,63.565950,
0.700000,0.000000,137.600965,114.119165,89.728597,229.880942,190.594531,301.216146,303.238648,303.275212,303.199749,303.260195,301.816852,301.858489,301.828687,301.788522,302.095094,302.087798,302.055175,302.052812,302.887470,302.844971,302.847370,302.880161,303.064847,303.016141,301.876915,301.895591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.179967,0.000000,0.811511,0.702473,1.505271,0.000000,0.869290,0.931864,0.944587,0.967114,0.651310,0.857879,0.815992,1.015528,0.704456,0.858235,0.712221,0.810551,0.917476,0.656367,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,52.536766,300.000000,190.158580,300.000000,33.156325,300.000000,148.885281,136.872769,123.468151,113.807553,300.000000,184.288719,221.270285,95.187370,300.000000,176.910001,300.000000,189.955269,152.276278,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303.275212,1.505271,33.156325,
0.800000,0.000000,113.871719,92.352090,71.741053,193.220264,160.702816,252.239524,254.452217,254.487855,254.413630,254.476371,252.901104,252.942353,252.917259,252.875911,253.211329,253.204167,253.169729,253.166887,254.075837,254.031247,254.034115,254.068668,254.269447,254.217181,252.974079,252.993741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.122707,0.000000,0.769217,0.000000,1.412929,0.000000,0.818218,0.890788,0.914091,0.933336,0.598599,0.816463,0.796665,0.926830,0.675288,0.824064,0.697460,0.000000,0.880187,0.619103,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,63.488090,300.000000,227.769081,300.000000,39.593957,300.000000,177.341104,166.977883,135.486578,129.600439,300.000000,224.540240,249.864375,127.697439,300.000000,209.221174,300.000000,300.000000,177.561491,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,254.487855,1.412929,39.593957,
0.900000,0.000000,90.142474,71.802607,55.202022,154.876174,129.133202,201.587369,203.686741,203.719237,203.652109,203.710791,202.216746,202.254606,202.234575,202.195831,202.515013,202.508530,202.475817,202.472889,203.334315,203.292098,203.295042,203.327827,203.517619,203.468135,202.289948,202.308603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.058157,0.000000,0.728545,0.000000,1.295062,0.000000,0.766580,0.837786,0.862578,0.875803,0.530207,0.771068,0.766980,0.841560,0.649212,0.785351,0.678349,0.734000,0.830508,0.570550,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,79.658447,300.000000,287.526504,300.000000,49.588826,300.000000,219.233636,207.401057,161.120760,158.551075,300.000000,286.079384,300.000000,216.590043,300.000000,259.252574,300.000000,281.423081,216.788691,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,203.719237,1.295062,49.588826,
